Date,Meters,Celsius,X,Y,Z
17:8:10,97.0,26.31,339,334,431
17:8:11,96.87,26.31,339,334,431
17:8:11,97.6,26.31,339,335,431
17:8:12,96.93,26.31,339,334,431
17:8:13,96.93,26.31,339,329,432
17:8:14,96.56,26.37,308,231,444
17:8:15,96.50,26.37,334,422,465
17:8:16,96.81,26.37,311,98,416
17:8:17,96.75,26.37,310,137,440
17:8:18,96.81,26.37,306,202,434
17:8:19,96.87,26.37,359,443,417
17:8:20,96.68,26.43,241,348,480
17:8:21,96.81,26.43,213,338,442
17:8:22,96.81,26.43,365,248,437
17:8:23,97.6,26.43,393,320,443
17:8:24,96.93,26.43,380,234,449
17:8:25,97.0,26.43,335,328,426
17:8:26,96.87,26.43,339,334,431
17:8:27,96.87,26.43,339,335,431
17:8:28,96.81,26.43,339,334,431
17:8:29,96.81,26.43,339,334,431
17:8:30,96.93,26.43,339,334,431
17:8:31,96.81,26.43,339,334,432
17:8:32,96.87,26.43,339,335,431
17:8:33,96.93,26.43,339,335,432
17:8:34,96.81,26.43,339,335,431
17:8:35,96.93,26.43,339,334,431
17:8:36,96.93,26.43,339,334,432
17:8:37,97.6,26.43,339,335,431
17:8:38,96.93,26.43,339,334,431
17:8:39,96.81,26.43,339,334,432
17:8:40,96.81,26.43,339,335,431
17:8:41,96.68,26.43,339,334,432
17:8:42,96.81,26.43,339,335,431
17:8:43,96.81,26.43,339,334,432
17:8:44,96.68,26.43,339,335,431
17:8:45,96.62,26.43,339,334,431
17:8:46,96.93,26.43,339,335,431
17:8:47,96.62,26.43,339,334,432
17:8:48,96.93,26.43,339,334,431
17:8:49,96.50,26.43,339,334,432
17:8:50,96.56,26.43,339,334,431
17:8:51,96.50,26.43,339,335,431
17:8:52,96.37,26.43,339,335,432
17:8:53,96.37,26.43,339,334,431
17:8:54,96.81,26.43,339,334,431
17:8:55,96.68,26.43,339,335,431
17:8:56,96.68,26.43,339,334,432
17:8:57,96.50,26.43,339,335,431
17:8:58,96.43,26.43,339,334,432
17:8:59,96.50,26.43,339,335,431
17:9:0,96.56,26.43,339,334,431
17:9:1,96.37,26.43,339,334,431
17:9:2,96.50,26.43,339,334,432
17:9:3,96.31,26.43,339,335,431
17:9:4,96.50,26.43,339,334,432
17:9:5,96.68,26.43,339,334,431
17:9:6,96.56,26.43,339,334,432
17:9:7,96.43,26.43,339,335,431
17:9:8,96.43,26.43,339,334,432
17:9:9,96.68,26.43,339,335,431
17:9:10,96.56,26.43,339,334,432
17:9:11,96.62,26.43,339,334,431
17:9:12,96.81,26.43,339,335,431
17:9:13,96.68,26.43,339,334,432
17:9:14,96.50,26.43,339,334,431
17:9:15,96.50,26.43,339,335,432
17:9:16,96.68,26.43,339,335,431
17:9:17,96.43,26.43,339,334,432
17:9:18,96.50,26.43,339,334,431
17:9:19,96.62,26.43,339,334,432
17:9:20,96.68,26.43,339,334,432
17:9:21,96.62,26.43,339,334,431
17:9:22,96.56,26.43,339,334,431
17:9:23,96.62,26.43,339,334,432
17:9:24,96.81,26.43,339,334,432
17:9:25,96.50,26.43,339,334,432
17:9:26,96.37,26.43,339,334,431
17:9:27,96.68,26.43,339,334,432
17:9:28,96.87,26.37,339,335,431
17:9:29,96.75,26.43,339,334,431
17:9:29,96.68,26.43,339,335,431
17:9:30,96.62,26.43,339,334,432
17:9:31,96.50,26.43,339,335,431
17:9:32,96.56,26.37,339,334,432
17:9:33,96.37,26.43,339,335,431
17:9:34,96.37,26.37,339,334,432
17:9:35,96.62,26.37,339,335,431
17:9:36,96.81,26.37,339,334,432
17:9:37,96.81,26.37,339,335,432
17:9:38,96.43,26.37,339,335,431
17:9:39,96.81,26.37,339,334,431
17:9:40,97.0,26.37,339,334,432
17:9:41,96.50,26.37,339,334,432
17:9:42,96.68,26.37,339,335,431
17:9:43,96.87,26.31,339,333,432
17:9:44,96.37,26.37,339,334,432
17:9:45,96.81,26.31,339,335,432
17:9:46,96.87,26.31,339,335,432
17:9:47,96.62,26.31,339,334,432
17:9:48,96.62,26.31,339,335,432
17:9:49,96.31,26.31,339,334,432
17:9:50,96.62,26.31,339,334,432
17:9:51,96.87,26.31,339,334,432
17:9:52,96.62,26.31,339,335,431
17:9:53,96.62,26.31,339,334,432
17:9:54,96.81,26.31,339,335,431
17:9:55,96.68,26.31,339,334,432
17:9:56,96.50,26.31,339,335,432
17:9:57,96.62,26.31,339,334,431
17:9:58,96.68,26.31,339,335,432
17:9:59,96.68,26.31,339,335,432
17:10:0,96.31,26.31,339,335,431
17:10:1,96.68,26.31,339,335,432
17:10:2,96.81,26.31,339,334,432
17:10:3,96.75,26.31,339,334,431
17:10:4,96.75,26.31,339,334,432
17:10:5,96.81,26.31,339,335,431
17:10:6,96.68,26.31,339,335,432
17:10:7,96.81,26.25,339,335,432
17:10:8,96.68,26.31,339,334,432
17:10:9,96.68,26.25,339,335,431
17:10:10,96.43,26.31,339,335,432
17:10:11,96.75,26.25,339,335,432
17:10:12,97.0,26.25,339,334,431
17:10:13,96.81,26.25,339,335,432
17:10:14,96.81,26.25,339,334,432
17:10:15,96.87,26.25,339,334,432
17:10:16,96.68,26.25,339,335,431
17:10:17,96.68,26.25,339,334,432
17:10:18,96.56,26.25,339,335,432
17:10:19,96.75,26.25,339,334,432
17:10:20,96.68,26.25,339,334,432
17:10:21,96.87,26.25,339,335,431
17:10:22,96.56,26.25,339,334,432
17:10:23,96.81,26.25,339,334,432
17:10:24,96.68,26.25,339,335,431
17:10:25,96.75,26.25,339,334,432
17:10:26,96.81,26.25,339,334,432
17:10:27,96.56,26.25,339,334,432
17:10:28,97.0,26.18,339,335,431
17:10:29,96.50,26.25,339,334,431
17:10:30,96.75,26.18,339,335,432
17:10:31,96.81,26.18,339,335,431
17:10:32,96.68,26.18,339,335,431
17:10:33,96.87,26.18,339,335,432
17:10:34,96.81,26.18,339,335,432
17:10:35,96.87,26.18,339,334,432
17:10:36,96.68,26.18,339,334,432
17:10:37,96.56,26.18,339,335,431
17:10:38,96.87,26.18,339,334,432
17:10:39,96.75,26.18,339,335,432
17:10:40,96.68,26.18,339,335,431
17:10:41,97.6,26.18,339,334,432
17:10:42,96.68,26.18,339,334,432
17:10:43,96.81,26.18,339,335,431
17:10:44,97.0,26.18,339,335,431
17:10:45,96.68,26.18,339,334,432
17:10:46,96.75,26.18,339,335,432
17:10:47,97.0,26.12,339,335,431
17:10:48,96.62,26.12,339,334,432
17:10:49,96.93,26.12,339,334,432
17:10:50,96.75,26.12,339,335,431
17:10:51,97.18,26.12,339,334,432
17:10:52,96.62,26.12,339,334,432
17:10:53,97.6,26.12,339,335,432
17:10:54,97.0,26.12,339,335,432
17:10:55,96.81,26.12,339,334,432
17:10:56,96.68,26.12,339,334,432
17:10:57,96.87,26.12,339,335,431
17:10:58,96.81,26.12,339,335,431
17:10:59,96.93,26.12,339,334,432
17:11:0,96.81,26.12,339,335,431
17:11:1,96.75,26.12,339,334,432
17:11:2,96.81,26.12,339,334,432
17:11:3,96.81,26.12,339,334,432
17:11:4,96.81,26.12,339,334,431
17:11:5,97.6,26.12,339,334,432
17:11:6,96.75,26.12,339,335,431
17:11:7,96.87,26.6,339,334,432
17:11:8,96.87,26.12,339,334,432
17:11:9,96.93,26.12,339,335,431
17:11:10,96.68,26.12,339,334,432
17:11:11,96.81,26.12,339,334,432
17:11:12,96.93,26.6,339,335,431
17:11:13,96.81,26.6,339,335,431
17:11:14,96.68,26.12,339,334,432
17:11:15,96.81,26.6,339,334,432
17:11:16,96.75,26.6,339,335,432
17:11:17,96.81,26.6,339,335,432
17:11:18,96.87,26.6,339,334,432
17:11:19,96.68,26.6,339,335,431
17:11:20,96.81,26.6,339,334,432
17:11:21,96.93,26.6,339,335,432
17:11:22,96.93,26.6,339,335,432
17:11:23,96.62,26.6,339,334,432
17:11:24,96.93,26.6,339,334,432
17:11:25,97.0,26.6,339,335,432
17:11:26,96.87,26.6,339,334,432
17:11:27,96.68,26.6,339,335,432
17:11:28,97.18,26.6,339,335,431
17:11:29,96.81,26.6,339,335,431
17:11:30,97.12,26.6,339,334,432
17:11:31,96.93,26.6,339,335,431
17:11:32,96.93,26.6,339,335,432
17:11:33,97.0,26.0,339,334,432
17:11:34,96.93,26.6,339,335,431
17:11:35,96.75,26.6,339,335,432
17:11:36,97.0,26.0,339,334,432
17:11:37,96.81,26.0,339,335,431
17:11:38,96.87,26.0,339,334,432
17:11:39,97.6,26.0,339,334,432
17:11:40,96.68,26.6,339,335,432
17:11:41,96.93,26.0,339,334,432
17:11:42,96.93,26.0,339,335,432
17:11:43,97.12,26.0,339,335,431
17:11:44,96.93,26.0,339,335,432
17:11:45,96.75,26.0,339,334,432
17:11:46,97.25,26.0,339,335,432
17:11:47,96.93,26.0,339,335,431
17:11:48,97.31,26.0,339,334,432
17:11:49,96.93,26.0,339,335,432
17:11:50,97.6,26.0,339,335,431
17:11:51,97.6,26.0,339,334,432
17:11:52,96.93,26.0,339,334,432
17:11:53,97.12,26.0,339,334,432
17:11:54,96.93,26.0,339,335,431
17:11:55,97.0,25.93,339,334,432
17:11:56,96.62,26.0,339,334,431
17:11:57,96.93,25.93,339,335,431
17:11:58,96.87,25.93,339,335,432
17:11:59,97.6,25.93,339,334,432
17:12:0,96.81,25.93,339,334,432
17:12:0,97.18,25.93,339,335,432
17:12:1,96.81,25.93,339,334,432
17:12:2,96.93,25.93,339,335,432
17:12:3,97.6,25.93,339,335,431
17:12:4,97.6,25.93,339,334,432
17:12:5,96.93,25.93,339,335,432
17:12:6,96.87,25.93,339,334,432
17:12:7,96.93,25.93,339,334,432
17:12:8,97.6,25.93,339,335,431
17:12:9,97.0,25.93,339,335,432
17:12:10,97.31,25.93,339,334,432
17:12:11,97.31,25.93,339,335,431
17:12:12,97.6,25.93,339,335,431
17:12:13,97.12,25.93,339,334,432
17:12:14,96.93,25.93,340,335,433
17:12:15,97.31,25.87,339,334,430
17:12:16,97.6,25.93,340,335,431
17:12:17,97.6,25.93,339,335,431
17:12:18,97.50,25.87,339,334,432
17:12:19,97.18,25.87,339,335,431
17:12:20,97.6,25.93,339,334,432
17:12:21,97.31,25.87,339,335,432
17:12:22,97.0,25.93,339,335,432
17:12:23,96.93,25.87,339,335,431
17:12:24,96.87,25.93,339,334,432
17:12:25,97.18,25.87,339,334,432
17:12:26,96.87,25.93,340,334,432
17:12:27,97.6,25.87,340,335,432
17:12:28,96.87,25.93,340,335,432
17:12:29,97.18,25.87,340,335,431
17:12:30,97.0,25.87,340,335,432
17:12:31,96.93,25.87,340,335,432
17:12:32,97.12,25.87,339,334,431
17:12:33,97.25,25.87,339,334,432
17:12:34,97.18,25.87,340,335,431
17:12:35,97.0,25.87,339,334,432
17:12:36,97.6,25.87,340,334,432
17:12:37,97.37,25.87,339,334,432
17:12:38,97.18,25.87,339,334,431
17:12:39,97.25,25.87,339,334,432
17:12:40,97.18,25.87,339,334,432
17:12:41,97.6,25.87,340,334,431
17:12:42,97.0,25.87,339,334,432
17:12:43,97.0,25.87,340,334,432
17:12:44,96.81,25.87,339,335,431
17:12:45,97.6,25.87,339,335,431
17:12:46,97.25,25.87,339,334,431
17:12:47,96.93,25.87,339,334,432
17:12:48,97.31,25.87,339,335,431
17:12:49,96.87,25.87,339,334,432
17:12:50,97.37,25.87,339,334,432
17:12:51,97.31,25.87,339,335,431
17:12:52,96.93,25.93,339,334,432
17:12:53,97.6,25.87,339,334,432
17:12:54,97.6,25.87,339,334,432
17:12:55,97.18,25.87,339,334,432
17:12:56,97.18,25.87,339,334,432
17:12:57,97.25,25.87,339,333,432
17:12:58,97.31,25.87,339,335,431
17:12:59,97.31,25.87,339,335,432
17:13:0,97.6,25.93,339,334,432
17:13:1,97.18,25.93,339,334,432
17:13:2,97.25,25.93,339,335,432
17:13:3,97.31,25.87,339,334,432
17:13:4,97.6,25.93,340,335,431
17:13:5,97.31,25.87,339,335,432
17:13:6,97.0,25.93,339,334,432
17:13:7,97.25,25.87,339,334,432
17:13:8,97.6,25.93,339,335,431
17:13:9,96.93,25.93,339,334,432
17:13:10,97.18,25.87,340,334,432
17:13:11,97.18,25.87,340,334,432
17:13:12,97.12,25.87,339,334,432
17:13:13,97.12,25.87,339,335,431
17:13:14,97.6,25.87,339,335,431
17:13:15,96.93,25.93,339,334,432
17:13:16,96.81,25.93,339,334,432
17:13:17,96.75,25.93,339,335,431
17:13:18,97.0,25.93,339,335,431
17:13:19,97.6,25.93,339,334,432
17:13:20,96.81,25.93,339,335,431
17:13:21,96.93,25.93,339,334,432
17:13:22,97.6,25.93,339,334,432
17:13:23,96.62,25.93,339,335,432
17:13:24,97.18,25.87,339,335,432
17:13:25,96.87,25.93,339,334,432
17:13:26,97.18,25.93,339,335,431
17:13:27,97.18,25.93,339,335,432
17:13:28,96.87,25.93,339,335,432
17:13:29,97.6,25.93,339,335,431
17:13:30,97.6,25.93,339,335,432
17:13:31,97.6,25.93,339,334,431
17:13:32,96.68,25.93,339,334,431
17:13:33,97.18,25.93,339,335,432
17:13:34,96.81,25.93,339,334,432
17:13:35,96.93,25.93,339,335,432
17:13:36,97.6,25.93,339,334,431
17:13:37,96.93,25.93,339,334,432
17:13:38,97.0,25.93,339,334,431
17:13:39,96.87,25.93,339,335,432
17:13:40,96.37,25.93,339,334,432
17:13:41,96.93,25.93,339,335,432
17:13:42,96.81,25.93,339,335,431
17:13:43,96.93,25.93,339,332,432
17:13:44,97.6,25.93,339,334,431
17:13:45,96.68,25.93,339,334,432
17:13:46,96.68,25.93,339,334,432
17:13:47,96.81,25.93,339,334,432
17:13:48,96.75,25.93,339,334,432
17:13:49,96.81,25.93,339,334,432
17:13:50,96.68,25.93,339,335,431
17:13:51,96.81,25.93,339,334,432
17:13:52,96.50,25.93,339,334,432
17:13:53,96.68,25.93,339,334,432
17:13:54,96.62,25.93,339,334,432
17:13:55,96.43,25.93,339,334,432
17:13:56,96.75,25.93,339,334,432
17:13:57,96.62,25.93,340,334,432
17:13:58,96.50,25.93,339,334,432
17:13:59,96.81,25.93,339,334,432
17:14:0,96.50,25.93,339,334,432
17:14:1,96.62,25.93,339,334,432
17:14:2,96.75,25.93,339,334,432
17:14:3,97.0,25.93,339,334,432
17:14:4,96.75,25.93,339,334,431
17:14:5,96.68,25.93,339,334,432
17:14:6,96.62,25.93,339,334,432
17:14:7,96.68,25.93,340,334,431
17:14:8,96.68,25.93,340,334,432
17:14:9,96.56,25.93,339,334,432
17:14:10,96.68,25.93,340,334,432
17:14:11,96.50,25.93,340,334,432
17:14:12,96.62,25.93,339,334,432
17:14:13,96.81,25.93,339,334,432
17:14:14,96.56,25.93,339,334,432
17:14:15,96.62,25.93,339,334,432
17:14:16,96.93,25.93,339,334,432
17:14:17,96.81,25.93,339,334,432
17:14:18,96.81,25.93,339,334,432
17:14:19,96.68,25.93,340,334,431
17:14:20,96.62,25.93,340,334,432
17:14:21,96.25,25.93,339,334,432
17:14:22,96.43,25.93,339,334,432
17:14:23,96.56,25.93,340,334,432
17:14:24,96.37,25.93,339,334,432
17:14:25,96.43,25.93,339,334,432
17:14:26,96.50,25.93,339,334,432
17:14:27,96.31,25.93,339,334,432
17:14:28,96.56,25.93,339,334,432
17:14:29,96.62,25.93,339,334,432
17:14:30,96.68,25.93,339,334,432
17:14:31,96.37,25.93,339,334,432
17:14:31,96.31,25.93,339,334,432
17:14:32,96.37,25.93,339,334,432
17:14:33,96.37,25.93,340,334,431
17:14:34,96.37,25.93,339,334,432
17:14:35,96.37,25.93,340,334,432
17:14:36,96.43,25.93,339,334,432
17:14:37,96.62,25.93,339,334,431
17:14:38,96.62,25.93,339,334,432
17:14:39,96.50,25.93,339,334,432
17:14:40,96.12,25.93,340,334,432
17:14:41,96.37,25.93,340,334,432
17:14:42,96.37,25.93,339,334,432
17:14:43,96.31,25.93,339,334,431
17:14:44,96.50,25.93,339,334,432
17:14:45,96.68,25.93,339,334,432
17:14:46,96.50,25.93,340,334,431
17:14:47,96.68,25.93,339,334,432
17:14:48,96.81,25.93,339,334,432
17:14:49,96.50,25.93,339,334,432
17:14:50,96.25,25.93,339,334,432
17:14:51,96.43,25.93,339,334,432
17:14:52,96.43,25.93,339,334,431
17:14:53,96.50,25.93,339,334,432
17:14:54,96.50,25.93,339,334,432
17:14:55,96.31,25.93,339,334,431
17:14:56,96.31,25.93,340,334,432
17:14:57,96.68,25.93,339,332,432
17:14:58,96.43,25.93,339,334,432
17:14:59,96.12,25.93,339,334,432
17:15:0,96.31,25.93,339,334,432
17:15:1,96.6,25.93,339,334,432
17:15:2,96.12,25.93,339,334,432
17:15:3,96.18,25.93,339,334,432
17:15:4,96.37,25.93,339,334,431
17:15:5,96.12,25.93,339,334,432
17:15:6,96.6,25.93,339,334,432
17:15:7,96.0,25.93,339,334,432
17:15:8,96.6,25.93,339,334,432
17:15:9,96.12,25.93,339,335,431
17:15:10,96.12,25.93,339,334,432
17:15:11,96.25,25.93,339,334,432
17:15:12,96.25,25.93,339,334,432
17:15:13,96.12,25.93,339,334,432
17:15:14,96.12,25.93,339,334,431
17:15:15,96.43,25.87,339,334,432
17:15:16,96.0,25.87,339,335,432
17:15:17,96.31,25.87,339,334,432
17:15:18,96.6,25.87,339,334,432
17:15:19,96.12,25.87,339,335,431
17:15:20,96.12,25.87,339,334,432
17:15:21,96.31,25.87,339,334,432
17:15:22,96.0,25.87,339,335,431
17:15:23,96.37,25.87,339,334,432
17:15:24,96.12,25.87,339,333,432
17:15:25,95.81,25.87,339,334,431
17:15:26,96.12,25.87,339,334,432
17:15:27,96.0,25.87,339,334,432
17:15:28,96.31,25.87,339,335,431
17:15:29,96.12,25.87,339,333,432
17:15:30,95.81,25.87,339,334,432
17:15:31,96.6,25.87,339,334,432
17:15:32,96.56,25.81,339,335,432
17:15:33,96.18,25.87,339,334,432
17:15:34,96.37,25.87,339,334,432
17:15:35,96.62,25.81,339,335,432
17:15:36,96.37,25.87,339,334,432
17:15:37,96.18,25.87,339,335,431
17:15:38,96.12,25.87,339,334,432
17:15:39,96.37,25.87,339,334,432
17:15:40,96.18,25.87,339,334,431
17:15:41,96.12,25.87,339,334,432
17:15:42,96.12,25.87,339,333,432
17:15:43,95.81,25.87,339,334,431
17:15:44,96.12,25.87,339,334,432
17:15:45,96.50,25.81,338,333,432
17:15:46,96.31,25.81,339,334,432
17:15:47,96.37,25.81,339,335,431
17:15:48,96.31,25.81,339,334,432
17:15:49,96.25,25.81,339,334,432
17:15:50,96.31,25.81,339,335,431
17:15:51,96.37,25.81,339,334,432
17:15:52,96.37,25.81,339,334,432
17:15:53,96.37,25.81,339,335,432
17:15:54,96.37,25.81,339,334,432
17:15:55,96.50,25.81,339,334,432
17:15:56,96.12,25.81,339,335,431
17:15:57,96.6,25.81,339,333,432
17:15:58,96.12,25.81,339,334,432
